## created: 2022-09-12T15:09:35.690505
## script: /mnt/mnemo6/qingyao/paxDB/data-pipeline/src/update_api_inputs/create_taxonomy_tree.py
9031	7711	Gallus gallus	chordata
68525	1224	delta/epsilon subdivisions	proteobacteria
33090	2759	Viridiplantae	eukaryota
593117	2157	Thermococcus gammatolerans EJ3	archaea
1286170	1236	Raoultella ornithinolytica B6	gammaproteobacteria
7091	6656	Bombyx mori	arthropoda
226186	2	Bacteroides thetaiotaomicron VPI-5482	bacteria
214092	1236	Yersinia pestis CO92	gammaproteobacteria
257313	1224	Bordetella pertussis Tohama I	proteobacteria
5833	5794	Plasmodium falciparum	apicomplexa
347256	2	Mycoplasma hominis ATCC 23114	bacteria
272624	1236	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	gammaproteobacteria
3702	35493	Arabidopsis thaliana	streptophyta
99287	1236	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	gammaproteobacteria
1313	1239	Streptococcus pneumoniae	firmicutes
4081	35493	Solanum lycopersicum	streptophyta
3635	35493	Gossypium hirsutum	streptophyta
214684	4751	Cryptococcus neoformans var. neoformans JEC21	fungi
1236	1224	Gammaproteobacteria	proteobacteria
33208	33154	Metazoa	opisthokonta
9986	314146	Oryctolagus cuniculus	euarchontoglires
9544	9443	Macaca mulatta	primates
39947	4447	Oryza sativa Japonica Group	liliopsida
246200	1224	Ruegeria pomeroyi DSS-3	proteobacteria
7147	6656	Diptera	arthropoda
392499	1224	Sphingomonas wittichii RW1	proteobacteria
192222	29547	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	epsilonproteobacteria
44689	2759	Dictyostelium discoideum	eukaryota
284590	4891	Kluyveromyces lactis NRRL Y-1140	saccharomycetes
8030	7711	Salmo salar	chordata
160488	1236	Pseudomonas putida KT2440	gammaproteobacteria
5811	5794	Toxoplasma gondii	apicomplexa
1239	2	Firmicutes	bacteria
7955	7711	Danio rerio	chordata
10090	9989	Mus musculus	rodentia
9685	40674	Felis catus	mammalia
7227	7147	Drosophila melanogaster	diptera
246196	2	Mycobacterium smegmatis str. MC2 155	bacteria
2157	1	Archaea	luca
7711	33208	Chordata	metazoa
272620	1236	Klebsiella pneumoniae subsp. pneumoniae MGH 78578	gammaproteobacteria
260799	1386	Bacillus anthracis str. Sterne	bacillus
7165	7147	Anopheles gambiae	diptera
189518	2	Leptospira interrogans serovar Lai str. 56601	bacteria
65489	4447	Oryza barthii	liliopsida
272623	1239	Lactococcus lactis subsp. lactis Il1403	firmicutes
4896	4751	Schizosaccharomyces pombe	fungi
29547	68525	Epsilonproteobacteria	delta/epsilon subdivisions
212042	1224	Anaplasma phagocytophilum str. HZ	proteobacteria
35493	33090	Streptophyta	viridiplantae
4565	4447	Triticum aestivum	liliopsida
224326	2	Borrelia burgdorferi B31	bacteria
88036	35493	Selaginella moellendorffii	streptophyta
85962	29547	Helicobacter pylori 26695	epsilonproteobacteria
283166	1224	Bartonella henselae str. Houston-1	proteobacteria
2711	35493	Citrus sinensis	streptophyta
373153	1313	Streptococcus pneumoniae D39	streptococcus pneumoniae
10116	9989	Rattus norvegicus	rodentia
511145	1236	Escherichia coli str. K-12 substr. MG1655	gammaproteobacteria
4891	4751	Saccharomycetes	fungi
314146	40674	Euarchontoglires	mammalia
198214	1236	Shigella flexneri 2a str. 301	gammaproteobacteria
73239	5794	Plasmodium yoelii yoelii	apicomplexa
3847	35493	Glycine max	streptophyta
4113	35493	Solanum tuberosum	streptophyta
5653	2759	Kinetoplastida	eukaryota
1140	1117	Synechococcus elongatus PCC 7942	cyanobacteria
1148	1117	Synechocystis sp. PCC 6803	cyanobacteria
4447	35493	Liliopsida	streptophyta
882	68525	Desulfovibrio vulgaris str. Hildenborough	delta/epsilon subdivisions
9913	91561	Bos taurus	cetartiodactyla
67767	6656	Lasius niger	arthropoda
64091	2157	Halobacterium sp. NRC-1	archaea
91561	40674	Cetartiodactyla	mammalia
109376	35493	Brassica oleracea var. oleracea	streptophyta
3055	33090	Chlamydomonas reinhardtii	viridiplantae
3880	35493	Medicago truncatula	streptophyta
7159	7147	Aedes aegypti	diptera
4513	4447	Hordeum vulgare	liliopsida
3827	35493	Cicer arietinum	streptophyta
6945	6656	Ixodes scapularis	arthropoda
9615	40674	Canis lupus familiaris	mammalia
83332	2	Mycobacterium tuberculosis H37Rv	bacteria
309800	2157	Haloferax volcanii DS2	archaea
121845	6656	Diaphorina citri	arthropoda
170187	1313	Streptococcus pneumoniae TIGR4	streptococcus pneumoniae
9598	9443	Pan troglodytes	primates
2	1	Bacteria	luca
353153	5653	Trypanosoma cruzi strain CL Brener	kinetoplastida
9823	91561	Sus scrofa	cetartiodactyla
5476	4891	Candida albicans	saccharomycetes
169963	1239	Listeria monocytogenes EGD-e	firmicutes
4932	4891	Saccharomyces cerevisiae	saccharomycetes
722438	2	Mycoplasma pneumoniae FH	bacteria
265311	2	Mesoplasma florum L1	bacteria
4751	33154	Fungi	opisthokonta
4097	35493	Nicotiana tabacum	streptophyta
4577	4447	Zea mays	liliopsida
40674	7711	Mammalia	chordata
546414	2	Deinococcus deserti VCD115	bacteria
9796	40674	Equus caballus	mammalia
1224	2	Proteobacteria	bacteria
8355	7711	Xenopus laevis	chordata
6239	33208	Caenorhabditis elegans	metazoa
122586	1224	Neisseria meningitidis MC58	proteobacteria
211586	1236	Shewanella oneidensis MR-1	gammaproteobacteria
8364	7711	Xenopus (Silurana) tropicalis	chordata
5691	5653	Trypanosoma brucei	kinetoplastida
1280	1239	Staphylococcus aureus	firmicutes
89462	91561	Bubalus bubalis	cetartiodactyla
1386	1239	Bacillus	firmicutes
3708	35493	Brassica napus	streptophyta
208964	1236	Pseudomonas aeruginosa PAO1	gammaproteobacteria
9606	9443	Homo sapiens	primates
449447	1117	Microcystis aeruginosa NIES-843	cyanobacteria
9989	314146	Rodentia	euarchontoglires
6656	33208	Arthropoda	metazoa
1314	1239	Streptococcus pyogenes	firmicutes
5794	2759	Apicomplexa	eukaryota
8022	7711	Oncorhynchus mykiss	chordata
5061	4751	Aspergillus niger	fungi
243159	1236	Acidithiobacillus ferrooxidans ATCC 23270	gammaproteobacteria
9443	314146	Primates	euarchontoglires
100226	2	Streptomyces coelicolor A3(2)	bacteria
7460	6656	Apis mellifera	arthropoda
1117	2	Cyanobacteria	bacteria
33154	2759	Opisthokonta	eukaryota
2759	1	Eukaryota	luca
224308	1386	Bacillus subtilis subsp. subtilis str. 168	bacillus
29760	35493	Vitis vinifera	streptophyta
9940	91561	Ovis aries	cetartiodactyla
3218	35493	Physcomitrella patens	streptophyta
547559	2157	Natrialba magadii ATCC 43099	archaea
